Codigo,Nome,Ementa
DEG0206,ATIVIDADE COMPLEMENTAR - 120h,Atividade complementar de 120 horas
DEG0207,ATIVIDADE COMPLEMENTAR - 150h,Atividade complementar de 150 horas
DEG0208,ATIVIDADE COMPLEMENTAR - 180h,Atividade complementar de 180 horas
DEG0209,ATIVIDADE COMPLEMENTAR - 210h,Atividade complementar de 210 horas
DPG0690,INTRODUÇÃO À EXPLORAÇÃO OFFSHORE - 30h,Esta disciplina visa introduzir o aluno ao contexto da exploração offshore de maneira a fornecer conhecimento introdutório sobre as diferentes fases deste processo. Em um primeiro momento são apresentados os procedimentos e equipamentos automatizados necessários a perfuração e preparação do poço para a produção e em segundo momento são apresentados os procedimentos e equipamentos automatizados necessários para a produção do petróleo em alto mar.
ECL0042,MEIO AMBIENTE FÍSICO E ECOSSISTEMAS - 60h,"O meio ambiente físico Interdependência dos seres vivos e do meio ambiente Características dos diferentes ambientes Adaptação aos ambientes aquáticos e terrestres Clima, topografia e solos Fluxo de energia e ciclagem dos nutrientes nos ecossistemas."
ECO0050,CONTABILIDADE NACIONAL - 60h,"A Contabilidade Nacional é entendida como uma técnica por meio da qual são sistematizadas as informações relevantes sobre os vários tipos de transação realizadas, em um dado período de tempo, entre os diversos agentes de um sistema econômico. Apesar de ser um curso voltado para a mensuração de variáveis econômicas, evitar-se-á a transformá-lo em um exercício empiricista. É essencial enfatizar a dependência da escolha das convenções da Contabilidade Nacional em relação às questões especificas que economistas investigam e as hipóteses de trabalho especiais que eles usam durante o processo de chegar as respostas. Consequentemente, mostra-se a cada etapa do curso a relação entre a imagem da economia que emerge dos quadros das contas nacionais e os principais conceitos da teoria macroeconômica."
ECO0061,ECONOMIA REGIONAL - 60h,"O ESTUDO DE ECONOMIA REGIONAL TEM COMO OBJETIVO INTRODUZIR O CONHE-CIMENTO DE PROBLEMAS ECONOMICOS RELACIONADOS COM A DINAMICA ESPACIAL,DA-SE ENFASE, ESPECIALMENTE AOS DESEQUILIRIOS REGIONAIS QUE SURGEM COM OPROCESSO DO CRESCIMENTO ECONOMICO E EM QUE MEDIDA ESSE ESTUDO SE TORNAUTIL PARA SOLUCINAR OS PROBLEMAS SURGIDOS COM AS DESIGUALDADES REGIO-NAIS. UMA PARTE DO CURSO E DEDICADA A PROBLEMAS BRASILEIROS."
ECO0072,ECONOMIA BRASILEIRA - 60h,"Objetiva-se no curso estudar a Economia Brasileira de 1930 ao tempo presente. Estudam-se Agricultura, Indústria, Comércio Exterior, Políticas Monetária e Fiscal, Inflação, Relações intersetoriais e regionais para cada subperíodo."
EFL0010,INICIACAO A ENGENHARIA FLORESTAL - 15h,"A DISCIPLINA VISA OFERECER AOS INICIANTES DO CURSO DE ENGENHARIA FLORESTAL UM CONHECIMENTO GERAL DO SEU FUNCIONAMENTO, ASSIM COMO, DA FUTURA PROFISSAO."
