id,codigo,nome,semestre,horas,requisitos,corequisitos,area,tipo,horario
comp2,CIC0007,INTROD. CIÊNCIA COMP.,97,60,,,seletiva-chave,OBG,"35T23, 3N12, 3T23, 46T45, 4N34, 4T45, 5T23, 6T45"
mecsol1,ENC0035,INTROD. MECÂNICA SÓLIDOS,97,60,,,seletiva-chave,OBG,"24M34, 24T23, 46M12, 46N12"
mecsol2,ENC0132,MECÂNICA DOS SÓLIDOS 1,97,60,,,seletiva-chave,OBG,"24T23, 46M34"
estagio,EPR0010,ESTÁGIO SUPERVISIONADO,99,180,"simulacao,pcp,seguranca",,humanas,OBG,Não Ofertada
tcc1,EPR0045,PROJETO DE GRADUAÇÃO 1,99,30,"simulacao,pcp,qualidade,seguranca",,projetos,OBG,Não Ofertada
tcc2,EPR0046,PROJETO DE GRADUAÇÃO 2,99,30,tcc1,,projetos,OBG,Não Ofertada
adm0023,ADM0023,INTRODUÇÃO À ADMINISTRAÇÃO,98,60,,,humanas,OPT,"24M34, 24N12, 2M34, 35M12, 35M34, 35N34, 35T23, 35T45, 3T23, 4M34, 4T2345, 5T23, 6N1234, 7M1234"
adm0064,ADM0064,ADMINISTRAÇÃO DE MARKETING,98,60,,,humanas,OPT,"24M12, 24N12, 35N12, 35T23"
adm0070,ADM0070,GOVERNO E ADMINISTRACAO NO BRASIL,98,60,,,humanas,OPT,35N12
adm0092,ADM0092,ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES,98,60,,,humanas,OPT,"24M34, 24N34"
bot0004,BOT0004,INTRODUCAO A ANATOMIA VEGETAL,98,60,,,humanas,OPT,"24M12, 2M1234, 3M34, 4N1234, 5M34"
bot0006,BOT0006,ANATOMIA DAS MADEIRAS,98,60,,,humanas,OPT,"45M12, 45M34"
bot0020,BOT0020,MORFOLOGIA E TAXONOMIA DAS CRIPTOGAMAS,98,60,,,humanas,OPT,"2T2345, 3N1234"
bot0044,BOT0044,ORGANOGRAFIA E SISTEMÁTICA FANEROFÍTICA,98,60,,,humanas,OPT,"3T2345, 4M1234, 4N1234, 5M1234, 6M1234, 6T2345"
cic0142,CIC0142,INFORMATICA E SOCIEDADE,98,30,,,exatas,OPT,6T23
dpg0690,DPG0690,INTRODUÇÃO À EXPLORAÇÃO OFFSHORE,98,30,,,prodesp,OPT,6M12
eco0050,ECO0050,CONTABILIDADE NACIONAL,98,60,,,humanas,OPT,"24N12, 35M12, 35M34"
eco0072,ECO0072,ECONOMIA BRASILEIRA,98,60,,,humanas,OPT,"35N34, 35T23, 35T45"
efl0044,EFL0044,TECNOLOGIA DE PRODUTOS FLORESTAIS,98,60,,,humanas,OPT,5M1234
efl0049,EFL0049,TECNOLOGIA DA MADEIRA,98,60,,,humanas,OPT,35M12
enc0037,ENC0037,TRANSFERÊNCIA DE ENERGIA E MASSA,98,75,,,prodesp,OPT,"2T123, 2T45, 4T23, 4T456"
enc0053,ENC0053,DESENHO TECNICO,98,60,,,prodesp,OPT,"24T23, 24T45, 35M12, 35M34, 35T23, 35T45, 6T2345"
enc0166,ENC0166,HIDROLOGIA APLICADA,98,60,,,prodesp,OPT,"35N12, 35T23"
enc0267,ENC0267,CARTOGRAFIA E GEOPROCESSAMENTO APLICADO,98,60,,,prodesp,OPT,35T45
enc0274,ENC0274,ESTATÍSTICA APLICADA À ENGENHARIA AMBIENTAL,98,60,,,prodesp,OPT,24T23
ene0001,ENE0001,ELETRICIDADE BÁSICA,98,60,,,exatas,OPT,"24T23, 35M12, 35M34"
ene0002,ENE0002,LABORATÓRIO DE ELETRICIDADE BÁSICA,98,30,,,exatas,OPT,"2T23, 2T45, 3T23, 3T45"
ene0013,ENE0013,ALGORITMOS E ESTRUTURA DE DADOS,98,60,,,exatas,OPT,35T23
ene0066,ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,98,30,,,exatas,OPT,"3M12, 4T23, 6M12, 6M34"
ene0067,ENE0067,SINAIS E SISTEMAS EM TEMPO CONTÍNUO,98,60,,,exatas,OPT,"24M34, 24T45, 35M34, 35T23"
